number,taxon,tolerance,weight
1,Anodonta woodiana,3.0,4.0
2,Corbicula fluminea,3.1,2.0
3,Musculium lacustre,3.9,4.0
4,Hediste sp.,6.5,2.0
5,Branchiura sowerbyi,5.1,1.0
6,Bothrioneurum vejdoskynum,3.7,1.0
7,Rhyacodrilus coccineus,0.0,5.0
8,Tubifex tubifex,4.6,1.0
9,Limnodrilus claparedeianus,0.7,4.0
10,Limnodrilus hoffmeisteri,4.9,1.0
11,Limnodrilus udekimineanus,7.3,5.0
12,Haplotaxis gordioides,3.8,1.0
13,Chaetogaster diaphanus,1.9,4.0
14,Chaetogaster limnaei,0.0,5.0
15,Branchiodrilus hortensis,7.1,3.0
16,Opidonais sp.,0.0,4.0
17,Amphichaeta asiatica,3.8,2.0
18,Haemonais waldvogeli,4.8,2.0
19,Nais variabilis,5.6,3.0
20,Nais communis,7.3,5.0
21,Slavina appendiculata,7.3,5.0
22,Stylaria fossularis,3.1,3.0
23,Pristina biserrata,0.0,5.0
24,Pristina longiseta,1.8,3.0
25,Henlea sp.,5.7,3.0
26,Mesenchytreanus sp.,6.9,2.0
27,Lumbriculus variegatus,3.3,1.0
28,Lamprotus orientalis,0.9,3.0
29,Eisenia koreana,4.2,1.0
30,Helobdella stagnalis,5.6,1.0
31,Erpobdella lineata,4.3,1.0
32,Erpobdella sp.,7.9,2.0
33,Cyprididae sp.,7.3,5.0
34,Gnorimosphaeroma sp.,4.6,5.0
35,Cyathura higoensis,7.9,4.0
36,Asellus sp.,6.4,2.0
37,Gammarus sp.,4.9,2.0
38,Jesogammarus sp.,10.0,5.0
39,Monocorophium sp.,9.0,5.0
40,Collembola sp.,4.2,2.0
41,Baetis fuscatus,3.3,4.0
42,Cloeon dipterum,5.1,2.0
43,Labiobaetis atrebatinus,4.6,2.0
44,Procloeon maritimum,0.0,5.0
45,Procloeon pennulatum,3.3,2.0
46,Choroterpes altioculus,0.8,3.0
47,Potamanthus formosus,0.0,4.0
48,Rhoenanthus coreanus,0.2,3.0
49,Ephoron shigae,0.0,5.0
50,Ephemera orientalis,2.7,2.0
51,Serratella setigera,5.6,2.0
52,Caenis sp.,2.6,2.0
53,Psychoda sp.,4.0,4.0
54,Dixidae sp.,3.3,5.0
55,Ceratopogonidae sp.,4.3,2.0
56,Benthalia sp.,4.6,5.0
57,Chironomus circumdatus,0.0,5.0
58,Chironomus flaviplumus,5.0,1.0
59,Chironomus kiiensis,8.5,3.0
60,Chironomus nipponensis,4.5,2.0
61,Chironomus edwardsi,6.9,3.0
62,Chironomus sp.,6.0,2.0
63,Cladotanytarsus vanderwulpi,3.3,3.0
64,Cryptochironomus sp.,1.6,2.0
65,Demicryptochironomus sp.,1.7,3.0
