sample_id,Ablabesmyia longistyla,Ablabesmyia monilis,Ablabesmyia prorasha,Ablabesmyia sp.,Amphichaeta asiatica,Anodonta woodiana,Asellus sp.,Baetis fuscatus,Benthalia sp.,Bothrioneurum vejdoskynum,Branchiodrilus hortensis,Branchiura sowerbyi,Brillia japonica,Caenis sp.,Ceratopogonidae sp.,Chaetogaster diaphanus,Chaetogaster limnaei,Chironomidae sp.,Chironomus circumdatus,Chironomus edwardsi,Chironomus flaviplumus,Chironomus kiiensis,Chironomus nipponensis,Chironomus sp.,Choroterpes altioculus,Cladopelma edwardsi,Cladopelma virescens,Cladotanytarsus vanderwulpi,Cloeon dipterum,Collembola sp.,Conchapelopia sp.,Corbicula fluminea,Corynoneura sp.,Cricotopus bicinctus,Cricotopus bimaculatus,Cricotopus sp.,Cricotopus sylvestris,Cricotopus triannulatus,Cryptochironomus sp.,Cyathura higoensis,Cyprididae sp.,Demicryptochironomus sp.,Dicrotendipes nervosus,Dicrotendipes pelochloris,Dicrotendipes septemmaculatus,Dicrotendipes sp.,Dixidae sp.,Ecnomus sp.,Eisenia koreana,Ephemera orientalis,Ephoron shigae,Ephydridae sp.,Erpobdella lineata,Erpobdella sp.,Eukiefferiella sp.,Gammarus sp.,Glyptotendipes tokunagai,Gnorimosphaeroma sp.,Haemonais waldvogeli,Haplotaxis gordioides,Harnischia japonica,Harnischia sp.,Harnischiagumsanea,Hayesomyia tripunctata,Hediste sp.,Helobdella stagnalis,Henlea sp.,Hydrobaenus kondoi,Hydrobaenus sp.,Jesogammarus sp.,Labiobaetis atrebatinus,Lamprotus orientalis,Limnodrilus claparedeianus,Limnodrilus hoffmeisteri,Limnodrilus udekimineanus,Limnophyes tamakitanaides,Lipiniella moderata,Lumbriculus variegatus,Mesenchytreanus sp.,Microchironomus sp.,Microchironomus tener,Microtendipes sp.,Monocorophium sp.,Musculium lacustre,Nais communis,Nais variabilis,Nilothauma sp.,Opidonais sp.,Orthocladius glabripennis,Orthocladius sp.,Parachironomus arcuatus,Parachironomus gracilior,Paratanytarsus grimmii,Paratanytarsus inopertus,Paratanytarsus sp.,Paratendipes albimanus,Paratendipes sp.,Paratrichocladius rufiventris,Polypedilum asakawaense,Polypedilum cultellatum,Polypedilum decematoguttatum,Polypedilum masudai,Polypedilum nubeculosum,Polypedilum nubifer,Polypedilum pedestre,Polypedilum sp.,Potamanthus formosus,Potthastia sp.,Pristina biserrata,Pristina longiseta,Procladius choreus,Procladius nigriventris,Procladius sp.,Procloeon maritimum,Procloeon pennulatum,Propsilocerus akamusi,Psychoda sp.,Rheocricotopus sp.,Rheopelopia sp.,Rhoenanthus coreanus,Rhyacodrilus coccineus,Saetheria tylus,Serratella setigera,Slavina appendiculata,Stictochironomus sinsauensis,Stictochironomus sp.,Stylaria fossularis,Syrphidae sp.,Tanypus punctipennis,Tanytarsus formosanus,Tanytarsus kiseogi,Tanytarsus sp.,Tanytarsus takahashii,Tanytarsus tamagotoi,Tanytarsus tamakutibasi,Thienemanniella sp.,Tubifex tubifex
S001,0,0,0,5,8,0,0,7,0,10,0,5,0,7,0,11,8,0,0,2,0,0,13,2,0,0,0,0,9,7,6,7,0,0,5,8,0,8,6,0,0,0,0,0,0,0,10,0,8,8,0,0,7,0,6,0,0,8,0,4,3,3,0,0,0,0,0,6,8,0,0,8,0,0,0,0,0,14,0,0,0,5,0,6,0,0,0,9,0,2,2,0,0,0,7,0,0,0,0,9,0,5,0,7,14,0,14,4,10,8,0,0,4,0,10,0,0,11,5,8,0,0,0,0,0,0,4,0,0,0,13,0,7,7,12,11,0
S002,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,8,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,7,4,0,0,0,7,0,5,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S003,0,0,2,0,0,10,2,0,7,9,0,0,0,7,0,0,7,0,3,0,0,0,0,0,12,2,0,4,0,2,5,10,3,0,12,12,0,0,2,0,0,12,2,0,0,0,0,0,8,6,0,0,0,0,0,0,6,0,1,6,4,0,0,1,0,0,0,3,0,0,5,5,6,0,0,6,0,9,0,0,0,6,0,0,0,0,8,10,0,7,0,0,0,0,0,9,9,0,0,11,0,0,0,0,3,8,8,0,8,9,6,0,0,0,0,7,5,10,3,7,0,0,4,0,9,0,0,0,0,0,3,0,0,0,9,0,0
S004,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,10,0,5,13,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,5,6,8,0,0,0,0,0,0,10,0,0,15,0,0,0,4,0,0,0,0,0,0,9,0,4,11,4,0,1,0,0,4,0,0,0,0,0,0,0,0,6,0
S005,0,0,5,3,10,2,2,0,2,8,0,0,0,8,0,10,0,9,0,4,0,0,0,2,8,0,8,8,3,3,6,0,0,10,10,0,6,13,0,0,0,4,0,0,0,2,14,0,0,0,0,0,6,0,0,7,0,0,0,7,7,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,8,4,0,0,0,2,7,9,0,0,0,0,0,0,9,9,9,0,2,3,0,8,0,0,0,8,0,0,8,9,10,0,0,14,0,0,6,8,9,13,0,0,0,0,0,7,6,2,0,0,6,6,11,0,7,13,0
S006,5,7,0,0,6,12,0,10,10,8,0,0,6,0,0,0,0,7,9,0,11,2,0,0,0,0,0,0,9,9,10,0,0,0,10,0,0,11,13,0,6,7,0,0,12,4,0,0,8,13,0,0,9,0,10,0,5,9,11,0,9,0,9,0,0,0,0,7,11,0,4,1,4,6,0,7,15,0,0,0,0,0,4,10,0,5,0,5,0,12,5,14,0,0,0,6,0,6,7,0,0,6,8,0,10,0,7,0,0,12,7,1,0,7,15,7,0,6,10,5,10,8,7,0,0,5,5,0,0,0,8,0,10,0,6,14,11
S007,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,11,10,0,7,0,1,0,3,0,6,0,0,0,1,0,0,5,0,4,0,0,0,10,5,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,5,0,7,0,0,5,0,0,1,8,5,0,12,1,0,10,0,2,0,7,3,6,0,0,7,9,14,9,0,0,0,0,7,0,0,0,5,5,9,0,1,8,0
S008,0,6,0,15,9,16,0,3,9,0,0,0,0,9,6,7,0,9,10,0,14,0,9,7,7,6,13,0,0,7,0,9,0,0,0,0,0,0,13,8,0,7,7,0,8,6,8,2,5,9,7,0,15,0,2,7,0,11,6,10,0,0,5,0,0,0,0,0,0,3,7,8,7,7,0,0,11,0,0,11,11,6,0,0,7,0,10,6,7,8,0,11,0,0,0,7,0,4,0,0,7,13,0,3,0,15,8,8,0,0,10,4,6,12,11,13,0,8,6,12,0,0,0,8,9,9,12,11,6,0,4,0,7,8,5,11,6
S009,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,4,0,0,0,0,0,7,4,0,0,8,0,4,0,7,5,0,0,0,0,0,5,3,0,0,1,0,0,0,4,12,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,11,12,4,0,0,0,0,0,0,9,0,0,0,12,0,0,0,1,0,0,0,0,0,0,5,0,7,5,5
S010,0,0,0,0,0,8,6,5,9,0,5,6,10,10,0,0,0,7,8,4,0,2,0,0,8,0,13,0,3,0,5,13,0,14,5,0,2,11,8,6,0,0,6,0,0,0,0,10,0,8,5,0,7,6,12,10,0,10,15,13,6,11,0,0,0,0,0,0,4,0,5,0,9,0,6,0,0,8,0,0,10,3,0,3,0,11,0,0,8,9,0,0,0,0,0,13,11,0,8,6,8,6,4,0,7,5,9,8,6,8,12,0,7,0,7,9,0,0,4,8,7,8,0,5,8,0,11,5,4,0,8,10,0,0,0,0,0
S011,0,0,0,0,0,0,10,0,0,3,2,7,0,10,15,9,10,0,11,0,8,1,8,0,10,0,6,4,5,12,5,0,6,10,0,0,0,10,7,0,0,10,0,0,0,4,5,3,0,5,0,0,11,2,8,6,0,6,9,6,7,7,0,0,9,0,7,0,6,0,0,0,12,12,0,4,7,0,4,6,0,13,0,8,4,8,5,6,3,5,0,0,0,0,0,0,0,7,0,7,7,0,11,0,14,8,13,0,12,0,9,6,10,7,11,11,5,9,5,7,0,0,0,0,11,0,7,0,0,0,0,7,3,0,9,11,5
S012,8,0,10,7,6,5,3,0,0,7,0,7,9,0,13,8,6,8,7,7,5,0,6,0,15,0,0,0,8,6,0,0,3,0,0,8,0,0,9,12,13,13,9,5,7,10,7,14,4,0,10,0,0,10,0,10,0,14,4,3,3,0,3,9,4,5,11,0,7,0,11,13,5,8,11,10,5,7,10,0,0,0,0,8,0,8,10,0,6,5,6,6,0,0,0,15,0,8,5,7,0,0,9,6,8,8,0,0,13,0,6,5,10,0,9,0,9,6,0,9,0,0,13,10,8,9,8,10,0,0,10,12,0,10,7,7,9
S013,0,10,9,0,8,5,0,0,10,7,6,0,0,0,10,0,9,11,0,5,0,4,12,10,14,0,9,0,11,7,9,7,8,0,9,6,9,9,8,7,0,0,3,4,5,3,13,0,10,0,11,0,11,0,4,11,4,9,0,7,0,0,0,0,0,7,0,10,5,0,0,7,0,0,0,0,0,8,7,0,10,10,5,0,0,0,8,7,8,13,0,9,0,0,5,10,7,6,0,0,6,10,0,7,0,0,0,14,9,0,0,0,13,0,8,11,0,8,0,0,13,12,8,8,0,11,0,4,0,0,10,0,9,11,5,13,10
S014,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,8,0,0,0,0,0,4,0,0,2,0,0,2,7,0,0,0,6,5,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,2,4,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,6,7,0
S015,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,9,0,0,0,8,6,3,0,0,0,2,7,0,0,1,9,0,0,0,0,0,0,3,0,0,0,7,2,0,10,0,0,0
S016,0,0,0,0,8,3,2,0,5,0,0,11,5,5,0,0,0,6,6,8,0,1,13,4,10,0,9,0,0,8,7,0,7,0,0,13,2,0,10,0,0,14,7,0,1,0,3,0,0,0,9,0,13,0,9,5,10,9,7,11,3,2,0,0,0,10,0,0,0,0,0,10,6,0,0,4,5,0,0,0,7,0,0,5,0,2,8,13,6,8,0,8,3,0,0,0,0,0,0,4,7,10,0,0,0,15,0,10,12,7,0,0,0,10,9,6,5,9,8,12,22,0,5,0,6,8,10,0,2,0,0,0,6,0,0,3,8
S017,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,9,0,0,0,0,0,4,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
S018,0,0,0,11,8,6,8,0,8,9,0,0,0,8,0,0,6,12,8,0,0,0,1,0,10,0,0,0,0,0,5,0,12,11,0,10,2,0,11,0,0,0,0,0,4,0,11,0,0,6,7,0,0,0,7,7,7,11,0,7,9,0,0,0,0,0,8,0,7,0,6,8,13,8,0,0,5,0,0,0,0,8,0,0,0,0,9,0,0,7,0,9,3,0,8,5,11,5,3,10,0,0,3,0,0,2,4,8,0,0,8,0,0,0,9,7,11,0,0,8,0,10,7,0,0,7,0,3,0,0,11,6,0,0,12,5,0
