sample_id,numerator,denominator,taxa,KBSI,condition_class
S001,2882.6,1313.0,57,78.04569687738004,A
S002,243.5,354.0,19,93.12146892655366,A
S003,2117.7999999999997,1015.0,55,79.13497536945813,A
S004,713.4,725.0,32,90.16,A
S005,3133.6,1304.0,60,75.96932515337423,A
S006,5517.1,1826.0,72,69.78587075575027,B
S007,1327.8999999999999,925.0,41,85.64432432432433,A
S008,7285.1,2057.0,81,64.5838599902771,B
S009,933.3,744.0,33,87.45564516129033,A
S010,5583.5,1735.0,75,67.81844380403457,B
S011,5091.5,1754.0,78,70.97206385404789,A
S012,9106.6,2214.0,90,58.86811201445347,C
S013,6361.2,2058.0,79,69.09037900874635,B
S014,808.1,494.0,29,83.6417004048583,A
S015,876.0,524.0,29,83.2824427480916,A
S016,4272.4,1634.0,72,73.85312117503061,A
S017,399.5,456.0,24,91.2390350877193,A
S018,4048.8,1453.0,63,72.13489332415692,A
S019,8038.0,2176.0,87,63.060661764705884,B
S020,2533.2,1098.0,54,76.92896174863388,A
S021,985.4,734.0,34,86.574931880109,A
S022,5945.4,1730.0,73,65.63352601156069,B
S023,7690.7,2135.0,84,63.97798594847775,B
S024,4557.5,1810.0,76,74.82044198895028,A
S025,5806.5,1781.0,70,67.39752947782145,B
S026,2604.5,1211.0,55,78.49298100743187,A
S027,4059.6,1658.0,66,75.51507840772015,A
S028,213.4,110.0,11,80.60000000000001,A
S029,6015.7,2095.0,84,71.2854415274463,A
S030,743.1,630.0,34,88.20476190476191,A
S031,1588.1,946.0,45,83.21247357293869,A
S032,1677.1,966.0,43,82.63871635610766,A
S033,112.6,137.0,15,91.78102189781022,A
S034,438.09999999999997,591.0,27,92.58714043993231,A
S035,560.9,440.0,24,87.25227272727273,A
S036,5127.9,1656.0,67,69.03442028985508,B
S037,3639.9,1396.0,63,73.92621776504298,A
S038,1441.8,928.0,40,84.46336206896552,A
S039,4691.9,1582.0,71,70.34197218710493,A
S040,1009.1,659.0,36,84.68740515933233,A
S041,28.0,82.0,6,96.58536585365853,A
S042,193.8,165.0,14,88.25454545454546,A
S043,869.4,623.0,29,86.04494382022472,A
S044,2598.1,1254.0,62,79.28149920255183,A
S045,897.5,672.0,34,86.64434523809524,A
S046,3096.3,1292.0,56,76.03482972136223,A
S047,576.0,669.0,29,91.39013452914797,A
S048,6318.9,2051.0,86,69.19112627986348,B
S049,1127.5,662.0,35,82.96827794561933,A
S050,403.7,291.0,22,86.12714776632302,A
S051,3991.2,1570.0,72,74.57834394904458,A
