sample_id,taxon,frequency
S001,Corbicula fluminea,7
S001,Musculium lacustre,6
S001,Branchiura sowerbyi,5
S001,Bothrioneurum vejdoskynum,10
S001,Haplotaxis gordioides,4
S001,Chaetogaster diaphanus,11
S001,Chaetogaster limnaei,8
S001,Opidonais sp.,9
S001,Amphichaeta asiatica,8
S001,Stylaria fossularis,4
S001,Pristina biserrata,10
S001,Pristina longiseta,8
S001,Lumbriculus variegatus,14
S001,Lamprotus orientalis,8
S001,Eisenia koreana,8
S001,Erpobdella lineata,7
S001,Gnorimosphaeroma sp.,8
S001,Collembola sp.,7
S001,Baetis fuscatus,7
S001,Cloeon dipterum,9
S001,Procloeon pennulatum,10
S001,Potamanthus formosus,14
S001,Rhoenanthus coreanus,8
S001,Ephemera orientalis,8
S001,Caenis sp.,7
S001,Dixidae sp.,10
S001,Chironomus nipponensis,13
S001,Chironomus edwardsi,2
S001,Chironomus sp.,2
S001,Cryptochironomus sp.,6
S001,Harnischia japonica,3
S001,Harnischia sp.,3
S001,Microtendipes sp.,5
S001,Parachironomus arcuatus,2
S001,Paratanytarsus sp.,7
S001,Polypedilum pedestre,14
S001,Polypedilum nubifer,7
S001,Polypedilum masudai,5
S001,Polypedilum cultellatum,9
S001,Tanytarsus kiseogi,13
S001,Tanytarsus takahashii,7
S001,Tanytarsus tamagotoi,7
S001,Tanytarsus tamakutibasi,12
S001,Potthastia sp.,4
S001,Thienemanniella sp.,11
S001,Cricotopus bimaculatus,5
S001,Cricotopus triannulatus,8
S001,Cricotopus sp.,8
S001,Eukiefferiella sp.,6
S001,Hydrobaenus kondoi,6
S001,Hydrobaenus sp.,8
S001,Orthocladius sp.,2
S001,Rheocricotopus sp.,11
S001,Ablabesmyia sp.,5
S001,Conchapelopia sp.,6
S001,Procladius sp.,4
S001,Rheopelopia sp.,5
S002,Chaetogaster limnaei,10
S002,Opidonais sp.,3
S002,Pristina biserrata,7
S002,Pristina longiseta,4
S002,Helobdella stagnalis,2
S002,Procloeon maritimum,7
S002,Dixidae sp.,3
S002,Chironomus circumdatus,5
S002,Chironomus nipponensis,1
S002,Cryptochironomus sp.,8
S002,Demicryptochironomus sp.,5
S002,Polypedilum pedestre,5
S002,Polypedilum nubifer,4
S002,Corynoneura sp.,3
S002,Propsilocerus akamusi,5
S002,Rheocricotopus sp.,7
S002,Ablabesmyia prorasha,3
S002,Conchapelopia sp.,5
S002,Saetheria tylus,5
S003,Anodonta woodiana,10
S003,Corbicula fluminea,10
S003,Bothrioneurum vejdoskynum,9
S003,Limnodrilus claparedeianus,6
S003,Haplotaxis gordioides,6
S003,Chaetogaster limnaei,7
S003,Opidonais sp.,10
S003,Haemonais waldvogeli,1
S003,Pristina biserrata,8
S003,Pristina longiseta,9
S003,Lumbriculus variegatus,9
S003,Lamprotus orientalis,5
S003,Eisenia koreana,8
S003,Asellus sp.,2
S003,Collembola sp.,2
S003,Labiobaetis atrebatinus,5
S003,Choroterpes altioculus,12
S003,Potamanthus formosus,8
S003,Rhoenanthus coreanus,7
S003,Ephemera orientalis,6
S003,Serratella setigera,4
S003,Caenis sp.,7
S003,Psychoda sp.,5
S003,Benthalia sp.,7
S003,Chironomus circumdatus,3
S003,Cladotanytarsus vanderwulpi,4
S003,Cryptochironomus sp.,2
S003,Demicryptochironomus sp.,12
S003,Dicrotendipes nervosus,2
S003,Glyptotendipes tokunagai,6
S003,Harnischia japonica,4
S003,Microtendipes sp.,6
S003,Nilothauma sp.,8
S003,Paratendipes albimanus,9
S003,Paratendipes sp.,9
S003,Polypedilum pedestre,3
S003,Polypedilum cultellatum,11
S003,Polypedilum sp.,8
S003,Stictochironomus sinsauensis,9
S003,Tanytarsus kiseogi,3
S003,Tanytarsus tamakutibasi,9
S003,Corynoneura sp.,3
S003,Cricotopus bimaculatus,12
S003,Cricotopus sp.,12
S003,Hydrobaenus kondoi,3
S003,Limnophyes tamakitanaides,6
S003,Orthocladius sp.,7
S003,Propsilocerus akamusi,7
S003,Rheocricotopus sp.,10
S003,Ablabesmyia prorasha,2
S003,Conchapelopia sp.,5
S003,Hayesomyia tripunctata,1
S003,Procladius choreus,6
S003,Rheopelopia sp.,3
S003,Cladopelma edwardsi,2
S004,Anodonta woodiana,3
S004,Corbicula fluminea,2
S004,Musculium lacustre,5
S004,Rhyacodrilus coccineus,11
S004,Haplotaxis gordioides,2
S004,Chaetogaster diaphanus,10
S004,Opidonais sp.,14
S004,Slavina appendiculata,1
S004,Stylaria fossularis,4
S004,Lamprotus orientalis,6
S004,Baetis fuscatus,2
S004,Choroterpes altioculus,7
S004,Potamanthus formosus,15
S004,Rhoenanthus coreanus,4
S004,Ephoron shigae,10
S004,Chironomus circumdatus,13
S004,Cryptochironomus sp.,7
S004,Harnischia japonica,4
S004,Harnischia sp.,1
S004,Paratanytarsus sp.,5
S004,Paratendipes albimanus,6
S004,Paratendipes sp.,8
S004,Polypedilum nubifer,10
S004,Thienemanniella sp.,6
S004,Cricotopus bimaculatus,6
S004,Eukiefferiella sp.,6
S004,Hydrobaenus sp.,1
S004,Rheocricotopus sp.,9
S004,Ablabesmyia monilis,1
S004,Procladius choreus,4
S004,Saetheria tylus,4
S004,Chironomidae sp.,5
S005,Anodonta woodiana,2
S005,Hediste sp.,3
S005,Bothrioneurum vejdoskynum,8
S005,Haplotaxis gordioides,7
S005,Chaetogaster diaphanus,10
S005,Opidonais sp.,9
S005,Amphichaeta asiatica,10
S005,Nais variabilis,2
S005,Stylaria fossularis,6
S005,Pristina biserrata,8
S005,Pristina longiseta,9
S005,Lumbriculus variegatus,10
S005,Erpobdella lineata,6
S005,Asellus sp.,2
S005,Gammarus sp.,7
S005,Collembola sp.,3
S005,Cloeon dipterum,3
S005,Procloeon maritimum,14
S005,Choroterpes altioculus,8
S005,Rhoenanthus coreanus,13
S005,Caenis sp.,8
S005,Psychoda sp.,6
S005,Dixidae sp.,14
S005,Benthalia sp.,2
S005,Chironomus edwardsi,4
S005,Chironomus sp.,2
S005,Cladotanytarsus vanderwulpi,8
S005,Demicryptochironomus sp.,4
S005,Dicrotendipes sp.,2
S005,Harnischia japonica,7
S005,Microchironomus tener,8
S005,Microtendipes sp.,4
S005,Nilothauma sp.,7
S005,Paratanytarsus sp.,9
S005,Paratendipes albimanus,9
S005,Paratendipes sp.,9
S005,Polypedilum asakawaense,2
S005,Polypedilum masudai,8
S005,Polypedilum cultellatum,3
S005,Polypedilum sp.,8
S005,Stictochironomus sp.,7
S005,Tanytarsus kiseogi,6
S005,Tanytarsus takahashii,11
S005,Tanytarsus tamakutibasi,7
S005,Tanytarsus sp.,6
S005,Thienemanniella sp.,13
S005,Cricotopus bicinctus,10
S005,Cricotopus bimaculatus,10
S005,Cricotopus sylvestris,6
S005,Cricotopus triannulatus,13
S005,Hydrobaenus kondoi,12
S005,Rheocricotopus sp.,8
S005,Ablabesmyia prorasha,5
S005,Ablabesmyia sp.,3
S005,Conchapelopia sp.,6
S005,Procladius choreus,10
S005,Rheopelopia sp.,9
S005,Cladopelma virescens,8
S005,Chironomidae sp.,9
S005,Syrphidae sp.,2
S006,Anodonta woodiana,12
S006,Musculium lacustre,10
S006,Bothrioneurum vejdoskynum,8
S006,Rhyacodrilus coccineus,10
S006,Tubifex tubifex,11
S006,Limnodrilus claparedeianus,4
S006,Limnodrilus hoffmeisteri,6
S006,Opidonais sp.,5
S006,Amphichaeta asiatica,6
S006,Haemonais waldvogeli,11
S006,Nais variabilis,5
S006,Stylaria fossularis,5
S006,Pristina longiseta,12
S006,Lamprotus orientalis,1
S006,Eisenia koreana,8
S006,Erpobdella lineata,9
S006,Cyprididae sp.,6
S006,Gnorimosphaeroma sp.,9
S006,Monocorophium sp.,4
S006,Collembola sp.,9
S006,Baetis fuscatus,10
S006,Cloeon dipterum,9
S006,Labiobaetis atrebatinus,4
S006,Procloeon maritimum,7
S006,Procloeon pennulatum,15
S006,Potamanthus formosus,7
S006,Rhoenanthus coreanus,5
S006,Ephemera orientalis,13
S006,Serratella setigera,7
S006,Benthalia sp.,10
S006,Chironomus circumdatus,9
S006,Chironomus flaviplumus,11
S006,Chironomus kiiensis,2
S006,Cryptochironomus sp.,13
S006,Demicryptochironomus sp.,7
S006,Dicrotendipes septemmaculatus,12
S006,Dicrotendipes sp.,4
S006,Glyptotendipes tokunagai,5
S006,Harnischia japonica,9
S006,Harnischiagumsanea,9
S006,Lipiniella moderata,15
S006,Parachironomus gracilior,14
S006,Parachironomus arcuatus,5
S006,Paratendipes albimanus,6
S006,Polypedilum asakawaense,7
S006,Polypedilum pedestre,10
S006,Polypedilum masudai,6
S006,Polypedilum nubeculosum,8
S006,Stictochironomus sp.,5
S006,Tanytarsus kiseogi,8
S006,Tanytarsus takahashii,10
S006,Tanytarsus tamakutibasi,6
S006,Thienemanniella sp.,14
S006,Brillia japonica,6
S006,Cricotopus bimaculatus,10
S006,Cricotopus triannulatus,11
S006,Eukiefferiella sp.,10
S006,Hydrobaenus kondoi,7
S006,Hydrobaenus sp.,11
S006,Limnophyes tamakitanaides,7
S006,Orthocladius sp.,12
S006,Paratrichocladius rufiventris,6
S006,Propsilocerus akamusi,7
S006,Rheocricotopus sp.,6
S006,Ablabesmyia longistyla,5
S006,Ablabesmyia monilis,7
S006,Conchapelopia sp.,10
S006,Procladius choreus,7
S006,Procladius nigriventris,1
S006,Rheopelopia sp.,10
S006,Saetheria tylus,8
S006,Chironomidae sp.,7
S007,Corbicula fluminea,5
S007,Bothrioneurum vejdoskynum,4
S007,Rhyacodrilus coccineus,14
S007,Limnodrilus claparedeianus,11
S007,Chaetogaster diaphanus,11
S007,Chaetogaster limnaei,10
S007,Stylaria fossularis,7
S007,Pristina longiseta,10
S007,Eisenia koreana,6
S007,Cloeon dipterum,1
S007,Procloeon maritimum,7
S007,Procloeon pennulatum,3
S007,Choroterpes altioculus,6
S007,Potamanthus formosus,12
S007,Rhoenanthus coreanus,9
S007,Ephemera orientalis,3
S007,Benthalia sp.,1
S007,Chironomus circumdatus,7
S007,Chironomus flaviplumus,1
S007,Chironomus nipponensis,3
S007,Cryptochironomus sp.,5
S007,Parachironomus gracilior,11
S007,Paratanytarsus sp.,5
S007,Paratendipes sp.,7
S007,Polypedilum pedestre,5
S007,Polypedilum nubifer,8
S007,Polypedilum cultellatum,5
S007,Polypedilum nubeculosum,1
S007,Tanytarsus kiseogi,5
S007,Tanytarsus takahashii,9
S007,Tanytarsus tamakutibasi,1
S007,Tanytarsus sp.,5
S007,Potthastia sp.,1
S007,Thienemanniella sp.,8
S007,Cricotopus bicinctus,4
S007,Cricotopus triannulatus,10
S007,Orthocladius sp.,5
S007,Propsilocerus akamusi,6
S007,Procladius nigriventris,2
S007,Rheopelopia sp.,7
S007,Saetheria tylus,9
S008,Anodonta woodiana,16
S008,Corbicula fluminea,9
S008,Tubifex tubifex,6
S008,Limnodrilus claparedeianus,7
S008,Limnodrilus hoffmeisteri,7
S008,Haplotaxis gordioides,10
S008,Chaetogaster diaphanus,7
S008,Opidonais sp.,6
S008,Amphichaeta asiatica,9
S008,Haemonais waldvogeli,6
S008,Nais communis,7
S008,Slavina appendiculata,8
S008,Stylaria fossularis,12
S008,Lamprotus orientalis,8
S008,Eisenia koreana,5
S008,Erpobdella lineata,15
S008,Gnorimosphaeroma sp.,11
S008,Cyathura higoensis,8
S008,Gammarus sp.,7
S008,Jesogammarus sp.,3
S008,Collembola sp.,7
S008,Baetis fuscatus,3
S008,Labiobaetis atrebatinus,7
S008,Procloeon maritimum,12
S008,Procloeon pennulatum,11
S008,Choroterpes altioculus,7
S008,Potamanthus formosus,8
S008,Rhoenanthus coreanus,12
S008,Ephoron shigae,7
S008,Ephemera orientalis,9
S008,Caenis sp.,9
S008,Dixidae sp.,8
S008,Ceratopogonidae sp.,6
S008,Benthalia sp.,9
S008,Chironomus circumdatus,10
S008,Chironomus flaviplumus,14
S008,Chironomus nipponensis,9
S008,Chironomus sp.,7
S008,Cryptochironomus sp.,13
S008,Demicryptochironomus sp.,7
S008,Dicrotendipes nervosus,7
S008,Dicrotendipes septemmaculatus,8
S008,Dicrotendipes sp.,6
S008,Harnischiagumsanea,5
S008,Lipiniella moderata,11
S008,Microchironomus tener,11
S008,Microchironomus sp.,11
S008,Microtendipes sp.,6
S008,Nilothauma sp.,10
S008,Parachironomus gracilior,11
S008,Paratendipes albimanus,7
S008,Polypedilum nubifer,3
S008,Polypedilum decematoguttatum,7
S008,Polypedilum masudai,13
S008,Polypedilum sp.,15
S008,Stictochironomus sinsauensis,9
S008,Stictochironomus sp.,9
S008,Tanytarsus kiseogi,4
S008,Tanytarsus takahashii,7
S008,Tanytarsus tamagotoi,8
S008,Tanytarsus tamakutibasi,5
S008,Potthastia sp.,8
S008,Thienemanniella sp.,11
S008,Eukiefferiella sp.,2
S008,Orthocladius glabripennis,7
S008,Orthocladius sp.,8
S008,Paratrichocladius rufiventris,4
S008,Propsilocerus akamusi,13
S008,Rheocricotopus sp.,8
S008,Ablabesmyia monilis,6
S008,Ablabesmyia sp.,15
S008,Procladius choreus,10
S008,Procladius nigriventris,4
S008,Procladius sp.,6
S008,Rheopelopia sp.,6
S008,Tanypus punctipennis,6
S008,Cladopelma edwardsi,6
S008,Cladopelma virescens,13
S008,Chironomidae sp.,9
S008,Syrphidae sp.,11
S008,Ecnomus sp.,2
S009,Hediste sp.,1
S009,Tubifex tubifex,5
S009,Limnodrilus claparedeianus,9
S009,Chaetogaster diaphanus,6
S009,Chaetogaster limnaei,11
S009,Pristina biserrata,11
S009,Pristina longiseta,12
S009,Gammarus sp.,3
S009,Ephoron shigae,12
S009,Ephemera orientalis,4
S009,Chironomus flaviplumus,4
S009,Cladotanytarsus vanderwulpi,4
S009,Demicryptochironomus sp.,5
S009,Dicrotendipes nervosus,3
S009,Dicrotendipes sp.,1
S009,Microchironomus tener,5
S009,Parachironomus gracilior,7
S009,Paratendipes albimanus,9
S009,Stictochironomus sp.,1
S009,Tanytarsus takahashii,5
S009,Tanytarsus tamakutibasi,7
S009,Potthastia sp.,3
S009,Thienemanniella sp.,5
S009,Corynoneura sp.,4
S009,Cricotopus bimaculatus,7
S009,Cricotopus sp.,5
S009,Eukiefferiella sp.,8
S009,Rheocricotopus sp.,9
S009,Ablabesmyia prorasha,14
S009,Conchapelopia sp.,8
S009,Procladius choreus,4
S009,Saetheria tylus,12
S009,Cladopelma virescens,7
S010,Anodonta woodiana,8
S010,Corbicula fluminea,13
S010,Musculium lacustre,3
S010,Branchiura sowerbyi,6
S010,Rhyacodrilus coccineus,7
S010,Limnodrilus claparedeianus,9
S010,Limnodrilus udekimineanus,6
S010,Haplotaxis gordioides,13
S010,Branchiodrilus hortensis,5
S010,Haemonais waldvogeli,15
S010,Nais variabilis,11
S010,Slavina appendiculata,5
S010,Stylaria fossularis,11
S010,Pristina biserrata,6
S010,Pristina longiseta,8
S010,Lumbriculus variegatus,8
S010,Erpobdella lineata,7
S010,Erpobdella sp.,6
S010,Gnorimosphaeroma sp.,10
S010,Cyathura higoensis,6
S010,Asellus sp.,6
S010,Gammarus sp.,10
S010,Baetis fuscatus,5
S010,Cloeon dipterum,3
S010,Labiobaetis atrebatinus,5
S010,Procloeon pennulatum,7
S010,Choroterpes altioculus,8
S010,Potamanthus formosus,9
S010,Rhoenanthus coreanus,8
S010,Ephoron shigae,5
S010,Ephemera orientalis,8
S010,Caenis sp.,10
S010,Benthalia sp.,9
S010,Chironomus circumdatus,8
S010,Chironomus kiiensis,2
S010,Chironomus edwardsi,4
S010,Cryptochironomus sp.,8
S010,Dicrotendipes nervosus,6
S010,Harnischia japonica,6
S010,Harnischia sp.,11
S010,Microchironomus tener,10
S010,Microtendipes sp.,3
S010,Paratendipes albimanus,13
S010,Paratendipes sp.,11
S010,Polypedilum asakawaense,8
S010,Polypedilum pedestre,7
S010,Polypedilum decematoguttatum,8
S010,Polypedilum masudai,6
S010,Polypedilum cultellatum,6
S010,Polypedilum nubeculosum,4
S010,Polypedilum sp.,5
S010,Stictochironomus sinsauensis,8
S010,Tanytarsus kiseogi,8
S010,Tanytarsus sp.,10
S010,Potthastia sp.,8
S010,Brillia japonica,10
S010,Cricotopus bicinctus,14
S010,Cricotopus bimaculatus,5
S010,Cricotopus sylvestris,2
S010,Cricotopus triannulatus,11
S010,Eukiefferiella sp.,12
S010,Hydrobaenus sp.,4
S010,Orthocladius glabripennis,8
S010,Orthocladius sp.,9
S010,Propsilocerus akamusi,9
S010,Conchapelopia sp.,5
S010,Procladius choreus,12
S010,Procladius sp.,7
S010,Rheopelopia sp.,4
S010,Tanypus punctipennis,4
S010,Saetheria tylus,8
S010,Cladopelma virescens,13
S010,Chironomidae sp.,7
S010,Syrphidae sp.,5
S010,Ecnomus sp.,10
S011,Musculium lacustre,8
S011,Hediste sp.,9
S011,Branchiura sowerbyi,7
S011,Bothrioneurum vejdoskynum,3
S011,Tubifex tubifex,5
S011,Limnodrilus claparedeianus,12
S011,Limnodrilus hoffmeisteri,12
S011,Haplotaxis gordioides,6
S011,Chaetogaster diaphanus,9
S011,Chaetogaster limnaei,10
S011,Branchiodrilus hortensis,2
S011,Opidonais sp.,6
S011,Haemonais waldvogeli,9
S011,Nais variabilis,8
S011,Nais communis,4
S011,Stylaria fossularis,7
S011,Pristina biserrata,12
S011,Henlea sp.,7
S011,Mesenchytreanus sp.,4
S011,Erpobdella lineata,11
S011,Erpobdella sp.,2
S011,Gnorimosphaeroma sp.,6
S011,Asellus sp.,10
S011,Gammarus sp.,6
S011,Collembola sp.,12
S011,Cloeon dipterum,5
S011,Procloeon maritimum,7
S011,Procloeon pennulatum,11
S011,Choroterpes altioculus,10
S011,Potamanthus formosus,13
S011,Rhoenanthus coreanus,7
S011,Ephemera orientalis,5
S011,Caenis sp.,10
S011,Psychoda sp.,5
S011,Dixidae sp.,5
S011,Ceratopogonidae sp.,15
S011,Chironomus circumdatus,11
S011,Chironomus flaviplumus,8
S011,Chironomus kiiensis,1
S011,Chironomus nipponensis,8
S011,Cladotanytarsus vanderwulpi,4
S011,Cryptochironomus sp.,7
S011,Demicryptochironomus sp.,10
S011,Dicrotendipes sp.,4
S011,Harnischia japonica,7
S011,Harnischia sp.,7
S011,Lipiniella moderata,7
S011,Microchironomus sp.,6
S011,Microtendipes sp.,13
S011,Nilothauma sp.,5
